word,translation
courteous,"אדיב, מנומס"
covert,"חשאי, סמוי"
crass,"גס, חסר רגישות"
credible,"אמין, מהימן"
crippled,"נכה, פגוע"
critical,"קריטי, ביקורתי"
crucial,"מכריע, חיוני"
crude,"גס, גולמי"
cruel,אכזרי
cryptic,"סתום, מסתורי"
culpable,"אשם, חייב בעונש"
cumbersome,"מסורבל, מכביד"
cumulative,מצטבר
customary,מנהג
cyclical,"מחזורי, ציקלי"
damp,"לח, טחוב"
decadent,"מנוון, מופקר"
deceased,"מת, נפטר"
deceptive,מטעה
defective,"פגום, לקוי"
defensive,"הגנתי, מתגונן"
deficient,"לקוי, חסר"
definitive,"סופי, מכריע"
degenerate,"מנוון, מושחת"
destructive,הרסני
determined,"נחוש, החלטי"
detrimental,"מזיק, פוגע"
devastated,"הרוס, שבור לב"
deviant,"סוטה, חריג"
distorted,מעוות
diverse,מגוון
divine,אלוהי
divisive,"מפלג, גורם מחלוקת"
docile,"כנוע, נוח להנחיה"
effective,"יעיל, אפקטיבי"
efficient,יעיל
exquisite,"מעודן, מופלא"
extensive,"מקיף, נרחב"
fervent,"נלהב, להוט"
festive,חגיגי
fierce,"פרוע, עז, אכזרי"
figurative,"מטפורי, פיגורטיבי"
fond,"מחבב, אוהב"
foreign,"זר, חוץ"
foremost,"ראשון במעלה, החשוב ביותר"
gaunt,"כחוש, צנום"
iconic,"איקוני, סמלי"
identical,זהה
ignorant,"בור, חסר דעת"
impoverished,"מדולדל, עני מרוד"
impressive,מרשים
inadequate,"לא מספיק, לקוי"
inanimate,"דומם, חסר חיים"
inaugural,"של השבעה, פתיחה"
inferior,"נחות, פחות טוב"
infinite,אין-סופי
influential,בעל השפעה
ingenious,"מחוכם, גאוני"
inherent,"טבוע, מולד"
intriguing,"מסקרן, מעניין"
intrusive,"חודרני, פולשני"
invasive,פולשני
invincible,בלתי מנוצח
legible,קריא
legitimate,לגיטימי
lenient,"ותרן, מקל"
lethal,קטלני
monumental,"מונומנטלי, כביר"
moral,מוסרי
morbid,"חולני, אפל"
morose,"עגום, קודר"
negligent,רשלן
nervous,"עצבני, לחוץ"
neutral,ניטרלי
overwhelming,"מכריע, מציף"
painstaking,"קפדן, יסודי"
photographic,"פוטוגרפי, צילומי"
pious,"אדוק, חסיד"
prolific,"פורה, שופע יצירה"
prominent,"בולט, חשוב"
rigid,"נוקשה, קשיח"
ripe,בשל
riveting,"מרתק, שובה לב"
rotary,סיבובי
rough,"קשה, מחוספס"
secluded,"מבודד, נסתר"
secretive,"חשאי, סודי"
