ng,מסגד,outskirts,פרוורים,meticulous,"מדוקדק, קפדני",impregnable,"בלתי חדיר, בלתי מנוצח",divergence,"שונות, סטייה",ponderous,"כבד מאוד, מסורבל, מגושם",demean,"להשפיל, לזלזל",turbulence,"מהפכה, ערבוביה",outrage,"1.זעם, שערוריה 2.עלבון",paternal,אבהי,synonym,"סינונים, מילה נרדפת",suceptible,"רגיש, פגיע",intricate,מורכב
slate,כיסה ברעפים,armistice,שביתת נשק,venue,"מקום אירוע, מקום מפגש",lucid,"ברור, נהיר",dispose,לזרוק,conspire,"לקשור קשר, לתכנן בחשאי",deprive,"למנוע, לקפח",undertake,"לקחת על עצמו, להבטיח",,,exhale,נושף,uproar,מהומה,liable,אחראי,curiously ,1.באופן מסקרן 2.באופן מוזר
slate,משטח לכתוב עליו,demolished,"נהרס, נחרב",perception,תפיסה (איך אנחנו חושבים על משהו),loathe,"לתעב, לשנוא לחלוטין",trait,אופי,electrify,"1.לחבר לרשת חשמל 2. לרגש, לרתק ",derive,"להסיק מסקנה, להפיק",uneasy,"מודאג, לא בנוח",peer,"1.עמית, שווה מעמד 2.להביט, מתבונן",depart,לעזוב,forbade,"לאסור, למנוע",suffocation,חנק,formats,"תבנית, פורמט"
slate,הצגת מועמדות,Cramped,"מכווץ, מוגבל",aviation,תעופה,limber,גמיש (גוף או אישיות),distortion,עיוות,collapsible,מתקפל,deputy,סגן,unsion,1.הרמוניה 2.אחדות,peep,"להציץ, הצצה",affluence,"עושר, שפע",skating,החלקה,languish,"1.לדעוך, להיחלש 2.להינמק, להתייבש",infiltration,"הסתננות, חדירה"
slate,"ייעד, הועיד",industrialist,תעשיין,vintage,1. בציר 2. כינוי לפריט שערכו עולה ככל שהוא מתיישן,letharagic,"אפתי, רדום",obedience,משמעת,hyperventilate,לסבול מנשימת יתר,derogatory ,"מזלזל, פוגע",ubringing,"גידול, חינוך",petition,1.עתירה 2.עצומה,etiquette,כללי התנהגות,tactufully,בצורה טקטית,stenographer,קצרן (רשם בבית משפט),conscientiousness ,עבודה בחריצות
,,,,,,,,,,,,,,,,,,,,,,,,,
debut,"הופעה ראשונה, התחלה חדשה של משהו",gibe,"לגלוג, ללעוג, לצחוק על מישהו",intrauterine,תוך רחמי,languish,"לדעוך, להתנוון",foe,אוייב,persecute,"לרדוף, להציק",descend,1.לרשת בירושה 2.לרדת,uphold,"לאשר, לתמוך",physician,רופא,oversight,"השמטה, פספוס פרט",mournfully,"בצורה עצובה, עגמומית",ambivalence,רגשות סותרים,Probity,"יושרה, הגינות"
saucer,"צלוחית, תחתית",sneer,"בז, לעג",assimilation,הטמעה,enchant,"לכשף, להקסים",species,"מין, סוג",aflutter,נרגש בציפייה למשהו,deserter ,עריק,uplift,"הרים, רומם",pier,"מזח, רציף",appeal,מערער,innumerable,"עצום, שלא ניתן לספור אותו",attribute,"1.לייחס 2.תכונה, סמל",quota,מכסה (של מקומות)
eschew,"נמנע, התנזר",veil,"מסווה, מעטה",buoy,"1.הציף 2. תמך, עזר",enquiry,"חקירה, בירור",broadcast,לשדר,pump up,1. לנפח 2. לשלהב,despise ,"לבוז, לתעב",uproar,"מהומה, המולה",,,synonymous,נרדף,perceptive,"חד עין, מהיר תפיסה",crowded,צפוף,deterred,"הרתיע, מנע"
stifling,מחניק,woo,לשכנע מישהו שיתמוך בך,encompassing,"1.הקיף, כיתר 2. יצר, גרם",ascribe,"לשייך, לייחס (תכונה)",defiant,סרבן,cold-sweat,זיעה קרה (כתוצאה מפחד),designate ,"מיועד, למנות (לתפקיד כלשהו)",utomost,"הגדול ביותר, המרובה ביותר",pillar,"עמוד, עמוד תווך",hiatus,הפסקה זמנית,cogent,1.משכנע 2.רלוונטי,deducible,ניתן להסקה,immersing,"טבילה, שיקוע"
stifle,"חנק, החניק, רמס",silhouette,צללית,erosion,"סחיפה, שחיקה",audacious,"נועז, חצוף",dubious,מפוקפק,ferment,"להתסיס, תסיסה",detach,"1.לנתק, להפריד 2.להקצות",utter,"1.לבטא, להגות 2.גמור, מוחלט",pin,"1.סיכה, יתד 2.להצמיד",curator,"אוצר (במוזיאון), משגיח",mere,רק,propagate,"1.להתרבות 2.להפיץ, להתפשט",adcom,ועדות קבלה (ראשי תיבות)
funnel,"ניתב, תיעל, מיקד",effusive,"קבלה, חמימות",spill,"נשפך, שפך",avarice,תאוות בצע,compulsory,חובה,stagger,1.להתנדנד מצד לצד (ללכת בקושי רב) 2.לסדר בצורה מוזרה,detain,"לעכב, לעצור",utterly,"לגמרי, לחלוטין",pinch,"1.לצבוט, צביטה 2.קמצוץ",counterpart,"עמית, בן זוג",phobias,פחדים,encompass,"לכלול, להקיף",procrastinate,"לדחות דברים, להתמהמה"
unreceptive,"שאינו קשוב, לא יכול לקבל",trifle,"דבר קטן, כמות קטנה",doping,סמים,disguise,"להסוות, תחפושת",constitution,"הרכב, חוקה",slake,להרוות צימאון למשהו,deter,להרתיע,utility,"1.שימושיות, תועלתיות 2.שירות המסופק לתועלת הציבור",pinpoint,"לאתר במדויק, לזהות",boast,"מתרברב, משתחצן",humming,"זמזום, המהום",bend,לעקם,glance,"מבט חטוף, הצצה"
,,,,,,,,,,,,,,,,,,,,,,,,,
tumble,"נפילה, בלבול, בלאגן",dull,"אדיש, קהה חושים",stint,"קדנציה, תקופת זמן בתפקיד מסוים",distinct,"מובחן, ברור",reprimand,לנזוף,baffle,"לבלבל, להביך",detest,"לשנוא, לתעב",,,plain,"1.מישור 2.פשוט, ברור",sewing,תפירה,vociferous,"רעשני, צעקני",impartiality,"ניטרליות, להיות פייר ",scenery,"נוף, תפאורה"
unionize,"להתאגד, איחד",weave,"ארג, שזר",backlash,תקופת נגד חריפה,convene,"להתכנס, לאסף (אסיפה)",abbreviate,לקצר,recuperate,"להחלים, להבריא, להתאושש",detract,"לגרוע, להפחית",operated,הפעילו,,,aviator,טייס,grime,"זיהם, טינף",communicative,תקשורתי,parlayed,"מינוף, לנצל"
juxtaposition ,"סמיכות, קרבה (לשם השוואה)",armchair,כורסה,apnea,דום נשימה,defect,"לערוק, לנטוש",depict,"לצייר, לתאר",puppy love,אהבת נעורים,detrimental ,מזיק,injection,זריקה,platter,מגש,contemplate,"להרהר, לשקול",vetoed,להטיל וטו,interpret,"לפרש, לתרגם",conferences,"ועידות, כנסים"
thererunder,מתחתיו,opulence,"עושר, שפע",fin,סנפיר,defintive,"סופי, מוחלט ",corollary,"תולדה, תוצאה ישירה",ramification,"השלכות, תוצאות",devise,"1.לתכנן, להגות 2.להוריש",gradual,הדרגתי,plot,"1.עלילה 2.מזימה, לזמום 3.להכין תרשים",gait,הליכה,distilled,מזוקק,respectively,בהתאמה,inhibition,מעכב
wistful,"מלא געגוע (בצורה שלילית ועצובה), עגום",binding,"עטיפה, כריכה",contentious,שנוי במחלוקת,candid,"כן, ישר וגלוי",impartial,"נטרלי, הוגן",fluctuate,"להתנדנד, לעלות ולרדת",devote,להקדיש,intimidate ,"להפחיד, לאיים",plug,1.תקע 2.מצת 3.פקק,senesce,הזדקנות,radish,צנון,inspector,מפקח, pertinent,"רלוונטי, לעניין"
flippancy,"קלות דעת, חוצפה",august,"אצילי, מרומם",ignite,"הצית, הדליק",cohesive,"מלוכד, בעל לכידות",serene,שליו,impoverish,לרושש,devotion,התמסרות,executive,"מנהל, הנהלה",pole,1.מוט 2.קוטב,integrate,"לשלב, למזג",permanent,"תמידי, קבוע",shrewdness,פיקחות,liturgical,"פולחני, דתי"
bliss,אושר עילאי,languid,"נרפה, חלש מאוד",sanction,"1. סנקציה, עונש, קנס 2. עידוד, אישור",condone,"למחול, להעלים עין (מעבירה)",intact,"שלם, ללא פגע",,,devour,"לזלול, לטרוף",collaborator ,משתפי פעולה ,pounce,להתנפל,leap,"זינוק, ניתור, קפיצה",heirloom,"ירושה, נכס משפחתי",distribution,"הפצה, חלוקה",discrepant ,"חריג, לא תואם"
,,,,,,,,,,,,,,,,,,,,,,,,,
slot,"חריך, חריץ, משבצת",depicted,"תיאר, סרטט, הציג",potency,"כוח, עוצמה, און",conjecture,"לשער, השערה לא ודאית",basin,אגן ,opportune,מה שקרה בעיתוי מוצלח,deviate,"לחרוג, לסטות",subordinate ,"כפוף ל, זוטר",powder,אבקה,flare,"להבה, נר",postal,של דואר,administrator,מנהל,compatible ,"מתאים, הולם"
panel ,קבוצה של אנשים שמכתנסים לשירות כלשהו,agitation,"תסיסה, סערת נפש",admission,"הכנסה, קבלה ",diligent,"חרוץ, שקדן",sincerity,כנות,fallacious,מטעה,deviation,"חריגה, סטייה",needlessly,ללא הצורך,precipitation,משקעים,gloat,שמחה לאיד,avid,"1.להוט, נלהב 2.שאפתני",carcass,פגר,hub,מרכז
dissuade,"הניא (גרם למשהו לא לקרות), עיכב",incognito,בעילום שם,showdown,"עימות מכריע, הצהרת כוונות (כל הקלפים על השולחן)",disdain,"לבוז, בוז",hearsay,שמועה,renovate ,לשפץ ,devoid,"חסר, נטול",imperceptibility ,באופן בלתי מורגש ,preoccupation,"1.טרדה, חוסר מנח 2.שקוע במחשבות",bred,1.לגדל 2.להתרבות 3.להפרות,enterprise,"1.יוזמה, פרוייקט 2.חברה, פירמה",consult,להתייעץ,wage,שכר
coarse,"גס, מחוספס",furnish,"לרהט, לספק",underscoring,"הדגשה, מתח קו מתחת למילה",sneak,"להתגנב, הלשנה סודית",eclectic,בררני,inferior,נחות,devout,"אדוק, קנאי",adversely,בצורה מנוגדת ,proceed,"להמשיך, להתקדם",swept,"טאטא, סחף",linguistic,בלשני,deceit,"רמאות, הונאה",collar,1.צווארון (בבגד) 2.קולר לבעלי חיים
wacky,"מטורף, ביזארי",entangle,"סיבך, הסתבך",garner,"אסף, אגר",solitude,"בדידות, להתבודד",amiss,לא כשורה,demented,משוגע,diagnose,לאבחן,abducted,נחטף,profession,1.מקצוע 2.הצהרה,bound,"1.קשור, כרוך 2.הציב גבול",neural,עצבי,deficient,"חסר, נטול משהו",erosion,"שחיקה, סחף"
unhinged,"משוגע, מעורער",forgery,זיוף,eloquent,רהוט,emphasis,דגש,nominal,סמלי,insulation,בידוד,diagonal ,"אלכסון, אלכסוני",remark,הערה,prohibit,"לאסור, למנוע",shrunk,"כיווץ, התכווץ",unveiled,"חשף, הסיר את הלוט",demonstration,"הוכחה, הדגמה",void,"ריק, חלל ריק"
dissect,"ביתר, ניתח",waylaid,מונחת בדרך,elementary,"יסודי, אלמנטרי",fuse,1.נתיך 2. להתמזג,obscure,מעורפל,thrust,דחף,dictate,1.לפקד 2.להכתיב (לומר למישהו מה לכתוב),stripe,"פס, רצועה ",prophecy,נבואה,indignant,ממורמר,fierce,"פראי, עז",inherent,שטבוע במהות של דבר,raking,"גריפה, לאסוף"
,,,,,,,,,,,,,,,,,,,,,,,,,
lukewarm,פושר,commended,"שיבח, פיאר",embellished,"יפה, קישט",futile,"עקר, חסר תועלת ",recluse,מתבודד ,derivation,"הוכחה (לוגית), הפקה",dictation ,הכתבה,adaptation,הסתגלות,pump,"לשאוב, משאבה",elusive,חמקמק,cardboard,קרטון,on account of,"בגלל, משום",bummed,מאוכזב
frenetic,"משוגע, אחוז טירוף",pillaged,בזז,alleged,"כביכול, לכאורה",intimate,"לרמוז, להודיע בעדינות",malignant,"מרושע, רשע",eulogize,לפאר ולשבח,differ,"לחלוק על, לא להסכים",encounter,"מפגש, התקלות",qualification,"הכשרה, הגבלה",subordinate,"משני, נחות",bead ,1.חרוז (שרשרת) 2.אגל,petulant,"קצר רוח, חסר סובלנות",outreach,"פנייה יזומה, הושטת יד"
steep,"1. גבוה, מוגזם  2. שאפתני",betrothal,אירוסין,passionate,"נלהט, להוט",intractable, קשה לשליטה,immense,עצום,tale,"סיפור, מעשייה",diffuse,"להתפזר, לפזר",integrate,לשלב,query,"1.לשאול,שאלה 2.לחקור",maritime,ימי,Imbecile,"אידיוט, טמבל",preach,לשאת דרשה,skimp,"הצטמצם, קמץ, התקמצן"
credibility,יכולת,cabinet,"1. ארון, שידה 2. קבוצה של שרים במדינה",ambitious,"שאפתן, אמביציוני",intrepid,"חסר פחד, אמיץ",deducible,ניתן להסיק,confidential,"סודי, חשאי",dignify,"לכבד, לרומם",indignant ,"מתרעם, זועם",ratio,יחס,marine,ימי,obstinacy,"עקשנות, עיקשות",redundant,"מיותר, חוזר על עצמו",receptionist,פקיד קבלה
franchise,"זיכיון, זכות הצבעה",incisive,"נוקב, חד",interfere with,התערב עם,intrinsic,"פנימי, מהות של משהו",reconcile,"להשלים, להתפייס",modify,"לתקן, לשנות",dignified ,מכובד,imperious,"שחצן, יהיר",realm,1.תחום 2.ממלכה,feud,"מריבה, סכסוך",shrugged,משך בכתפיים,roam,לשוטט,showcase,הציג לראווה
rambles,שוטטות ללא מטרה מסוימת,whence,"מאין, מהיכן",whether,אם,introversion,פנימיות  (אופי),yearn,להתגעגע,thorax,"חזה, בית חזה",diligence,"התמדה, חריצות",imperial,קיסרי,reap,לקצור,equation,משוואה,loin,"ירך, מותן",attend,1.לטפל 2.להיות נוכח,vouch,"העיד, התחייב"
bureaucratic,שקשור לבירוקרטיה,sequel,"המשך, תוצאה",either,"אחד מהשניים, זה או זה, גם (לא) ",prestige,יוקרה,mere,"רק, בלבד",flagrant,"בוטה, מזעזע",diligent ,"מתמיד, חרוץ",impartial,"אובייקטיבי, לא משוחד",rebellion,"מרד, מרידה",hollow,חלול,assert,1.הכריז 2.עמד על דעתו 3.טען,whereby,באמצעותו,cusp,"1.חוד 2.חצי סהר, חרמש"
,,,,,,,,,,,,,,,,,,,,,,,,,
lawnmower ,מכסחת דשא,mew,יללה,tempt,"פיתה, עורר (משהו מסוכן)",pretentious,"יומרני, מתנשא",confine,להגביל,supposition,השערה,dilute,"לדלל, למהול",accomplice,שותף לעבירה,recitation,"דקלום, סיפור",pledged,התחייב,sweeping,1.סוחף 2.כוללני,thorax,"חזה, בית החזה",daunted,"מפוחד, מבוהל"
pinnacle,"1. שיא, פיסגה  2. צריח",dainty,"עדין, אלגנטי",trace,"עקבות, שארית",prevail,"לגבור, לנצח, לשלוט",conspicuous,בולט,slight,"מעט, קטן",dim,"לעמעם (תאורה), עמום",successor,"יורש, ממשיך דרך",reclaim,"לדרוש בחזרה, להשיב",shrill,לצווח,by 776 B.C.E,עד שנת 776 לפני הספירה,spring,"1.אביב 2.לזנק, לנתר",elective,בחירה
enclosure,"כיתר, סגר, הקיף",bonnet,1.מצנפת 2. מכסה מנוע,tame,"לביית, לאלף",gainsay,"להכחיש, להתנגד",afflict,לייסר,comparative,"יחסי, השוואתי",diminish ,"להמעיט, להפחית",advocate,"תומך, עורך דין",recruitment,גיוס,meek,צנוע,veneer,שכבה דקה של משהו יקר,sufficiently,באופן שיספק,obstetrics,מיילד
rampage,השתולל,ominous,"מבשר רעות, מאיים",monument,"אנדרטה, מצבת זיכרון",gall,"להרגיז, חוצפה",candidly,בכנות,whereby,שבאמצעותו,dire,1.דחוף 2.גרוע,supervisor,"מפקח, משגיח ",regards,דרישת שלום,pacifying,פיוס,lodged,"1.התגורר, התאכסן 2.הגיש תביעה",accompany,"להתלוות, ללוות",copay,השתתפות עצמית
tenuous ,"יש לו קצת חוזק או חומר, חלשלוש",neat,"מסודר, מאורגן",resentment,"כעס, טינה",galvanize,"להמריץ, לעורר לפעולה",deterrent,"מעכב, מונע",defiance,"סירוב בתוקף, מרד",discard,"לזרוק, להיפטר מ",symmetric,"זהה בשני צדדיו, סימטרי",relent,1.לוותר 2.להתמתן,retrieving,השבה של משהו,attire,"הלביש, קישט, לבוש",account for,להסביר,coverage,"סיקור, כיסוי"
horde,"המון, שבט",clergyman,כומר,accompaniment,"ליווי, אביזר, תוספת",gambit,"מהלך טקטי (בשחמט,שיחה)",dispensable,לא הכרחי,defection,עריקה,discern,"להבדיל, להבחין ",elementary,"בסיסי, יסודי",reminder,תזכורת,simmering,הרתחה,esteem,"הערכה, כבוד",adversary,יריב,bundle,"ארז, לארוז"
retribution,"עונש, גמול",expostulate,"התווכח, התנצח",instrument,1. כלי 2. מסמך רשמי,garish,"צעקני, מוגזם לעין",pursue,לרדוף,smother,"לכסות, לחנוק",discord ,"להתווכח, לריב",syntheic,"מלאכותי, סינטטי",representation,ייצוג,margins,שוליים,keeps up with,עומד בקצב עם,amiss,לא כשורה,amenities,שירותים הניתנים על ידי מקום
,,,,,,,,,,,,,,,,,,,,,,,,,
whereabouts,"היכן, איפה",idler,בטלן,cut down for,קיצוץ עבור,brew,לבשל (חליטה או שכר - בירה),undermine,"לחתור תחת, לסקל",unison,"ביחד, בצוותא",discredit ,"לבייש, להטיל במישהו ספק",glamorous,זוהר,reprimand,"לגעור, לנזוף",format,"פורמט, מבנה",needlessly,שלא לצורך,annex,"1.סיפח, צירף 2.אגף",amenity,"1.נוחות 2.גינונים, נימוסים"
amalgamate,"מיזג, איחד, צירף",bachelor,בוגר תואר ראשון,portray,"תיאר, צייר",infuriate,"הרגיז, הרתיח (כעס)",eulogy,"הספד, יצירה שנועדה לפאר ולשבח",interim,זמני,discrepancy ,"סתירה, אי התאמה",fond,אוהב,repulsive,דוחה,scales,מאזניים,aptitude,"1.נטייה, כישרון 2.חריצות",apposite,"מתאים מאוד, הולם",bickering,"התקוטטות, מריבה"
gruesome,"מבעית, מפחיד, איום",menaced,"איים, סיכן",enlightened,"נאור, משכיל",carcass,"גופה, פגר",hitherto,"עד כה, נכון לעכשיו",demonstration,"הוכחה, הפגנה, הדגמה",discrete ,"מובחן, מובדל",enriched,מועשר,,,drawback,חסרון,reprimand,"גערה, נזיפה",barracks,מגורי חיילים,stir,1.לרגש 2.לבחוש
pawn,"מישכון, פיקדון",neutral,נטרלי,devastated,"הרוס, מזועזע",indecent,מגונה,carcass,פגר,composite,מורכב,disdain,"לבוז, בוז",intense,עז,resort,"1.מפלט 2.אתר נופש 3.לנקוט, להשתמש",convent,מנזר,filth,"לכלוך, זוהמה",beforehand,"מראש, לפני כן",undermining,לחתור תחת
hedge,"גידר, תיחם, הגביל",reproachful,"נוזף, נזפני",wiped out,"מחוק, גמור, הרוס",upkeep,"תחזוקה, אחזקה",detain,לעכב,blasphemy,חילול השם,disenchanted ,"להתפכח מאשליה, מפוכח",illiteracy,"אנאפלבתיות, חוסר ידע קרוא וכתוב",restrain,"לרסן, לעצור",prospect,"1.סיכוי 2.רעיון, נקודת מבט",deceptive,מטעה,relatively,באופן יחסי,assassinating,מתנקש
dire,"נורא, מפחיד, מבשר רעות",resolute,"נחוש, החלטי",held back,"מנע, עצר, עיכב",jurisdiction,"תחום שיפוט, אזור שיפוט",dread,"לפחד, לחשוש",vapor,אד,disgrace ,"לבייש, להכלים",illegitimacy,1.ממזרות 2.אי לגיטמיות,retail,למכור בקמעונות,imposing,מרשים,lavishly,"בנדיבות, בשפע",cede,לוותר על,harbor,1.נמל 2.מחסה
awry,"עקום, משובש, לא מסודר",preposterous,"אבסורדי, מגוחך",shown off,"השוויץ, התרברב",blot,"כתם, רבב",thrust,"דחף, דחיפה",complaisance,"אדיבות, נכונות לרצות אחרים",disillusionment ,התפכחות (מאשליה),illegality,אי חוקיות,retell,לספר מחדש,least,פחות,acutely,"בצורה חמורה, באופן אנוש",conscience,מצפון,comprising,כולל
,,,,,,,,,,,,,,,,,,,,,,,,,
callow,"טירון, חסר ניסיון",fasteners,"אבזר המשמש לסגירה, הידוק או חיבור",emphasis,"דגש, הבלטה",contagion,"הדבקות, מחלה מדבקת",saturnine,"עצוב, קודר",intensity,"עצמה ניכרת, העמקה",dispensable ,"שאפשר לוותר עליו, לא הכרחי",illegibility,חוסר בהירות,retrace,"לשחזר, לחזור על עקבות",caution,זהירות,swept,1.סוחף 2.לנקות,azure,תכלת,,
garret,עליית גג,dashing,"נמרץ, ערני, נועז",convicted,"מורשע, הרשיע",sovereignty,ריבונות,implant,"להטביע, לקבוע באופן עמוק",dote,להרעיף אהבה וחום,disperse ,"להפיץ, לפזר",extract,"להפיק, להוציא",retribution,"גמול, עונש",renovated,שופץ,burst,"1.התפרץ 2.פוצץ, התפוצץ",detection,מלאכת האיתור,postoperative,לאחר ניתוח
stupor,"ערפול חושים, תדהמה",aquiline,נשרי (כמו נשר),omniscient,"שיודע הכל, בעל ידע בלתי מוגבל",convulse,"טלטל, זיעזע",blashpheme,לחלל (דבר קדוש),various,"שונה, מגוון",dispute,"להתווכח, לריב",arbitrate,1.להכריע 2.לתווך,irresistibly,שאין לעמוד בפניו,futile,חסר תועלת,thrust,"דחף, הכוח שיוצא ממדחף",strenuous,"מאמץ, קשה",materialized,הופך להיות ממשי
armpit,"בית שחי, בהשאלה כינוי למקום הגרוע ביותר באזור כלשהו",perch,"ממוקם, ישב",jubliant,"צוהל, עליז, שימח",culprit,"נאשם, עבריין",fundamentalist,"מאמין בתורה שבעל פה, במה שכתוב",remnant,"שריד, שייר",disseminate,"להפיץ, לפזר",venture,"1.השקעה, יוזמות 2.סיכון",unfold,"נפרש, מתגלה ",legible,קריא,lent,"1.הילווה 2.נתן, סיפק",smother,1.לחנוק 2.לכסות (ואז אפשר לכבות שריפה בעזרת כיסוי),reclusive,מתבודד
bust,"שבר, עצר, ריסק ",shabby,"עלוב, בלוי, מרופט",impose,"1. כפה, אכף 2. העניק, ניצל",atrocity,זוועה,stench,סירחון,amiss,לא כשורה,dissent ,"להתנגד, מחלוקת ",verifiable,"ניתן לבירור, שניתן לאמת אותו",enact,לחוקק,portable,נייד,all but,1. כמעט לגמרי 2.הכל חוץ מ.,quarrel,"ריב, לריב",,
washout,כישלון חרוץ,fare,דמי נסיעה,obtained,הושג,ratify,"אישר, אישרר",tiresome,"מייגע, מעייף",quarrel,"ריב, לריב",dissolve,"1.להיעלם 2.להתמוסס, להתפזר",vessel,1.כלי דם 2.כלי קיבול 3.כלי שיט,trickle,לטפטף,interceded,1.להתערב 2.הליץ בעד מישהו אחר,ratified,"אישר, אישרר",eavesdrop ,"לצותת, להאזין בסתר",repercussion,השלכות
curriculum,תוכנית לימודים,bridegroom,"חתן, ארוס",accommodate,"1. העניק, סיפק 2. אירח 3. הסתגל",bust,"1. שבר, קילקל 2. חזה",restrain,לרסן,malice,רוע,distaste ,"לסלוד, לשנוא ",vicious,"1.אכזרי, מרושע 2.מסוכן",stationary,"1.נייח, קבוע 2.יציב",deposited,הפקיד,secession,"פרישה, הסתלקות",languor,"חולשה, אפיסת כוחות",defying,"מתנגד, מתריס"
,,,,,,,,,,,,,,,,,,,,,,,,,
pinch,"1. צביטה 2. קמצוץ, מעט",trousers,מכנסיים,extradition,הסגרה (לידי מדינה אחרת),apprehension,"דאגה, חשש",expedition,"מסע, משלחת מחקר",abolish,לבטל,distasteful ,"לא נעים, מעליב",virtual,"מדומה, וירטואלי",roast,"צלוי, קלוי",deferred,דחה,spectacle,"מחזה, מפגן",prospect,1.סיכוי 2.תחזית,ruptured,"נקרע, להתפקע"
quotation,1. ציטוט 2. הצעת מחיר,occupant,"דייר, משתכן",espionage,"ריגול, ביון",gilding,הזהיב (ציפה בזהב),precede,תקדים,calamity,אסון,distort,"לעוות, לסלף",virtually,"למעשה, בפועל",humid,לח,debuted,"הושק, הופיע לראשונה",suburb,"פרור, שכונה בקצה העיר",rout,"להנחיל תבוסה, תבוסה",burst,"התפוצצות, התפרצות"
