ng	מסגד
eulogize	לפאר ולשבח
differ	לחלוק על
encounter	מפגש
qualification	הכשרה
bead	חרוז (שרשרת) 2.אגל
petulant	קצר רוח
outreach	פנייה יזומה
steep	גבוה
betrothal	אירוסין
passionate	נלהט
intractable	קשה לשליטה
immense	עצום
tale	סיפור
diffuse	להתפזר
query	לשאול
maritime	ימי
Imbecile	אידיוט
preach	לשאת דרשה
credibility	יכולת
cabinet	ארון
ambitious	שאפתן
intrepid	חסר פחד
confidential	סודי
dignify	לכבד
ratio	יחס
marine	ימי
obstinacy	עקשנות
redundant	מיותר
receptionist	פקיד קבלה
franchise	זיכיון
incisive	נוקב
interfere with	התערב עם
intrinsic	פנימי
reconcile	להשלים
modify	לתקן
dignified	מכובד
imperious	שחצן
feud	מריבה
shrugged	משך בכתפיים
roam	לשוטט
showcase	הציג לראווה
rambles	שוטטות ללא מטרה מסוימת
whence	מאין
whether	אם
introversion	פנימיות  (אופי)
yearn	להתגעגע
thorax	חזה
diligence	התמדה
imperial	קיסרי
reap	לקצור
equation	משוואה
loin	ירך
attend	לטפל 2.להיות נוכח
vouch	העיד
bureaucratic	שקשור לבירוקרטיה
sequel	המשך
either	אחד מהשניים
prestige	יוקרה
flagrant	בוטה
rebellion	מרד
hollow	חלול
assert	הכריז 2.עמד על דעתו 3.טען
whereby	באמצעותו
cusp	חוד 2.חצי סהר
lawnmower	מכסחת דשא
mew	יללה
tempt	פיתה
pretentious	יומרני
confine	להגביל
supposition	השערה
dilute	לדלל
accomplice	שותף לעבירה
recitation	דקלום
pledged	התחייב
sweeping	סוחף 2.כוללני
daunted	מפוחד
pinnacle	שיא
dainty	עדין
trace	עקבות
prevail	לגבור
conspicuous	בולט
slight	מעט
dim	לעמעם (תאורה)
successor	יורש
reclaim	לדרוש בחזרה
shrill	לצווח
by 776 B.C.E	עד שנת 776 לפני הספירה
spring	אביב 2.לזנק
elective	בחירה
enclosure	כיתר
bonnet	מצנפת 2. מכסה מנוע
tame	לביית
gainsay	להכחיש
afflict	לייסר
comparative	יחסי
diminish	להמעיט
advocate	תומך
recruitment	גיוס
meek	צנוע
veneer	שכבה דקה של משהו יקר
sufficiently	באופן שיספק
obstetrics	מיילד
rampage	השתולל
ominous	מבשר רעות
monument	אנדרטה
gall	להרגיז
candidly	בכנות
dire	דחוף 2.גרוע
supervisor	מפקח
regards	דרישת שלום
pacifying	פיוס
lodged	התגורר
accompany	להתלוות
copay	השתתפות עצמית
tenuous	יש לו קצת חוזק או חומר
neat	מסודר
resentment	כעס
galvanize	להמריץ
deterrent	מעכב
defiance	סירוב בתוקף
discard	לזרוק
symmetric	זהה בשני צדדיו
relent	לוותר 2.להתמתן
retrieving	השבה של משהו
attire	הלביש
account for	להסביר
coverage	סיקור
horde	המון
clergyman	כומר
accompaniment	ליווי
gambit	מהלך טקטי (בשחמט
dispensable	לא הכרחי
defection	עריקה
discern	להבדיל
reminder	תזכורת
simmering	הרתחה
esteem	הערכה
adversary	יריב
bundle	ארז
retribution	עונש
expostulate	התווכח
instrument	כלי 2. מסמך רשמי
garish	צעקני
pursue	לרדוף
smother	לכסות
discord	להתווכח
syntheic	מלאכותי
representation	ייצוג
margins	שוליים
keeps up with	עומד בקצב עם
amenities	שירותים הניתנים על ידי מקום
whereabouts	היכן
idler	בטלן
cut down for	קיצוץ עבור
brew	לבשל (חליטה או שכר - בירה)
undermine	לחתור תחת
unison	ביחד
discredit	לבייש
glamorous	זוהר
format	פורמט
annex	סיפח
amenity	נוחות 2.גינונים
amalgamate	מיזג
portray	תיאר
infuriate	הרגיז
eulogy	הספד
interim	זמני
discrepancy	סתירה
fond	אוהב
repulsive	דוחה
scales	מאזניים
aptitude	נטייה
apposite	מתאים מאוד
bickering	התקוטטות
gruesome	מבעית
menaced	איים
enlightened	נאור
hitherto	עד כה
discrete	מובחן
enriched	מועשר
drawback	חסרון
barracks	מגורי חיילים
stir	לרגש 2.לבחוש
pawn	מישכון
neutral	נטרלי
devastated	הרוס
indecent	מגונה
composite	מורכב
intense	עז
resort	מפלט 2.אתר נופש 3.לנקוט
convent	מנזר
filth	לכלוך
beforehand	מראש
undermining	לחתור תחת
hedge	גידר
reproachful	נוזף
wiped out	מחוק
upkeep	תחזוקה
blasphemy	חילול השם
disenchanted	להתפכח מאשליה
illiteracy	אנאפלבתיות
restrain	לרסן
deceptive	מטעה
relatively	באופן יחסי
assassinating	מתנקש
resolute	נחוש
held back	מנע
jurisdiction	תחום שיפוט
dread	לפחד
vapor	אד
disgrace	לבייש
illegitimacy	ממזרות 2.אי לגיטמיות
retail	למכור בקמעונות
imposing	מרשים
lavishly	בנדיבות
cede	לוותר על
harbor	נמל 2.מחסה
awry	עקום
preposterous	אבסורדי
shown off	השוויץ
blot	כתם
complaisance	אדיבות
disillusionment	התפכחות (מאשליה)
illegality	אי חוקיות
retell	לספר מחדש
least	פחות
acutely	בצורה חמורה
conscience	מצפון
comprising	כולל
callow	טירון
fasteners	אבזר המשמש לסגירה
contagion	הדבקות
saturnine	עצוב
illegibility	חוסר בהירות
retrace	לשחזר
caution	זהירות
azure	תכלת
garret	עליית גג
dashing	נמרץ
convicted	מורשע
sovereignty	ריבונות
implant	להטביע
dote	להרעיף אהבה וחום
disperse	להפיץ
extract	להפיק
renovated	שופץ
burst	התפרץ 2.פוצץ
detection	מלאכת האיתור
postoperative	לאחר ניתוח
stupor	ערפול חושים
aquiline	נשרי (כמו נשר)
omniscient	שיודע הכל
convulse	טלטל
blashpheme	לחלל (דבר קדוש)
various	שונה
dispute	להתווכח
arbitrate	להכריע 2.לתווך
irresistibly	שאין לעמוד בפניו
strenuous	מאמץ
materialized	הופך להיות ממשי
armpit	בית שחי
perch	ממוקם
jubliant	צוהל
culprit	נאשם
fundamentalist	מאמין בתורה שבעל פה
remnant	שריד
disseminate	להפיץ
venture	השקעה
unfold	נפרש
legible	קריא
lent	הילווה 2.נתן
reclusive	מתבודד
bust	שבר
shabby	עלוב
impose	כפה
atrocity	זוועה
stench	סירחון
dissent	להתנגד
verifiable	ניתן לבירור
enact	לחוקק
portable	נייד
all but	כמעט לגמרי 2.הכל חוץ מ.
quarrel	ריב
washout	כישלון חרוץ
fare	דמי נסיעה
obtained	הושג
ratify	אישר
tiresome	מייגע
dissolve	להיעלם 2.להתמוסס
vessel	כלי דם 2.כלי קיבול 3.כלי שיט
trickle	לטפטף
interceded	להתערב 2.הליץ בעד מישהו אחר
ratified	אישר
eavesdrop	לצותת
repercussion	השלכות
curriculum	תוכנית לימודים
bridegroom	חתן
accommodate	העניק
malice	רוע
distaste	לסלוד
vicious	אכזרי
stationary	נייח
deposited	הפקיד
secession	פרישה
languor	חולשה
defying	מתנגד
trousers	מכנסיים
extradition	הסגרה (לידי מדינה אחרת)
apprehension	דאגה
expedition	מסע
abolish	לבטל
distasteful	לא נעים
virtual	מדומה
roast	צלוי
deferred	דחה
spectacle	מחזה
ruptured	נקרע
quotation	ציטוט 2. הצעת מחיר
occupant	דייר
espionage	ריגול
gilding	הזהיב (ציפה בזהב)
precede	תקדים
calamity	אסון
distort	לעוות
virtually	למעשה
humid	לח
debuted	הושק
suburb	פרור
rout	להנחיל תבוסה
loom	מכונת אריגה 2. הגיח
rumble	הרעיש
leveraging	מינוף
flagship	ספינת דגל 2. הדבר המובחר
deception	רמאות
bulletin	להודיע
vacant	פנוי
craft	מלאכה 2.מיומנות
inconspicuous	לא בולט
offspring	צאצא
staunch	נאמן
perspire	הזיע
gleam	הבריק
condemnation	הרשעה
swell	התנפח
avaricious	כילי
pageantry	תצוגה מרהיבה
district	אזור
tenant	דייר
emblematic	סמלי
dump	זבל 2.פלט של נתונים ממסד של נתונים
plaza	כיכר העיר
platitude	אמרה שטחית ונדושה
copper	נחושת
solidifies	מיצק
ditch	לעזוב
ostentatious	ראוותני
pale	חיוור
doom	אסון
vague	מעורפל
vengeance	נקמה
stocky	איתן
illusory	מטעה
depleted	מדולל
lecture	הרצאה
scuffle	נאבק
commodity	סחורה
juxtapose	לשים בסמוך
dormant	רדום
vagueness	אי בהירות
retort	תשובה חריפה ושנונה
excessively	בצורה מוגזמת
untold	שלא ניתן לתאר במילים 2.כביר
heresy	כפירה
flurry	התרגשות
hosed	השקה 2. רימה
ulster	מעיל כבד
allay	הרגיע
lard	שומן חזיר
pan	מחבת
vain	יהיר
recoup	לפצות
responsive	מגיב
sustained	ממושך
insuperable	שלא ניתן להתגבר עליו
protruded	בולט
hideously	בצורה איומה וזוועתית
quest	מסע
exemplary	מופתי 2. מזהיר
capsized	התהפך
susceptible	רגיש
pander	לספק
downcast	מדוכא
in vain	לחינם
delinquency	עבריינות
cautious	זהיר
fluctuated	תנודות
maneuver	תמרון
spare	חס
sway	התנודד 2. השפיע
tremendous	עצום
quail	רעד
drab	אפרורי
err	שגה
pedal	לדווש
majesty	מלכות
pardon	סלח
retaliation	גמול
buffoon	ליצן
taint	לפגום
inked with	מסומן בדיו
wharf	מזח
fasten	לסגור היטב
parlor	דוכן
ransack	בזז
pardoning	חנינה (שנשיא נותן או אדם שביקשו ממנו סליחה)
batch	קבוצה
leopard	פנתר
ulterior	נסתר
dreary	עצוב
verdict	פסק דין
immunized to	מחוסן
extent	היקף
ease	להקל
pluck	לקטוף
stark	פשוט
imprudent	חסר זהירות
resign	התפטר
jeopardize	סיכן
wander	לשוטט
vacate	להתפנות
droll	משעשע
versatile	מגוון
prearranged for	מסודר בראש
imbalanced	חוסר איזון
furtive	חשאי 2.ערמומי
augment	מגביר
gaudy	צבעוני מדי
hindrance	מניעה
outcry	זעקה
waistline	קו מותן
contamination	זיהום
veteran	יוצא צבא 2.ותיק
weary	לייגע
seamless	בלי תפרים
implicit	מרומז 2.משתמע
obfuscates	מעורפל
glittering	נצנץ
indebted	אסיר תודה
flank	איגף - נע סביב
bleach	הלבין
disinfect	לחטא
tender	ברכות
overdue	שעבר זמנו
vibrant	מלא חיים
provocation	פרובקציה
cowardice	פחדנות
spool	גליל 2.קובץ שנשמרים בו דברים להדפסה
defamation	השמצה
continuous	רציף
poached	חלוט
indignation	התמרמרות או זעם בעקבות אי צדק
quotidian	יום יומי
immensely	לאין שיעור
bolster	תמך
disinfectant	חומר חיטוי
fortify	לבצר
last	אחרון 2.סופי
toss	זרק
implicate	לערב
enigmatic	חידתי
imps	שד
flammable	דליקה
soothed	הרגיע
elevate	להגביה
vigor	חוזק
pasture	שדה מרעה
sought	לחפש 2.לבקש
besting	גבר על
deliberation	שקילה
saner	שפוי
florid	פרחוני
turnout	שיעור השתתפות
gargled	לגרגר
reverent	יראת שמיים
impede	להפריע
encircle	לכתר
vigorous	איתן
occasion	אירוע 2.סיבה
theorem	תאוריה שהיא מוכחת
intoxicating	משכר
superstitious	לא מציאותי
gravel	חצץ
fiery	לוהט
clause	פסקה
tangles	הסתבך
wince	להתכווץ
enigma	מסתורין
vindictive	נקמני
abbey	מנזר
plunge	לצלול
unabashedly	ללא בושה
outspread	פרוש
ablaze	בוער
recess	הפסקה
cordially	בלבביות
capitalize	הפיק תועלת ממשהו 2. השתמש באות גדולה
ingot	מטיל
partucles	חלקיקים
orge	ענק מפלצתי
entertain	לארח
rework	לעבד מחדש
pod	תרמיל
awestruck	מוכה יראת כבוד
lull	הרגיע
gnaw	כירסם
utmost	מיטב היכולת
calf	גור של יונק לעיתים קרובות עגל
virtues	מעלות
shortfall	גירעון
eradicate	להשמיד
virtue	מעלה
rid	להיפטר
poise	לאזן
undertaken	קיבל על עצמו
assertion	טענה תקיפה
deducted	נוכה
mandate	מנדט
humdrum	שגרה
retention	שמירה
hermit	נזיר
compress	לדחוס
eternal	אינסופי
vivacious	מלא חיים
ridden	חדור 2.נשלט על ידי
hauls	לגרור
overruled	פסק נגד
unrequited	ללא גמול (כשמדובר על חיבה ואהבה)
pile	ערם
compatriot	בן-ארצו
camouflage	הסוואה
thread	פתיל
evacuate	לפנות
ponder	להרהר
misperception	תפיסה מוטעית
fundameltalist	שמרן קיצוני
exempt	לפטור
whimsical	שובב
singular	יחיד
lament	קונן
ray	קרן
paste	להדביק 2. עיסה
mellow	רגוע
evaporate	להתאדות
volume	קול 2.נפח 3.כרך מסוים של ספר
rough	מחוספס
porter	שוער
lampshade	כיסוי למנורה
imperil	לסכן
hogwash	שטויות
puffed	נשף
contingency	משהו שעלול לקרות
strip	רצועה 2. התערטלות
promptly	ללא עיכוב
amplify	להגביר
exile	לגרש
salvage	לחלץ
precaution	אמצעי זהירות
aboard	על כלי תחבורה כלשהו
repatriation	חזרה למולדת
riddance	השתחררות (כמו get rid from something)
chagrin	צער
defies	התריס
chanted	זרה
excite	להלהיב
vow	להישבע
sample	לדגום
sumptuary	חוקיים שקשורים לכספים
expenditure	הוצאה
bolstered	חיזק
robust	חסון
gospel	בשורה
pedometers	מד צעדים
compile	ליקט
riddle	חידה
spew	להקיא
exclusive	בלעדי
voyage	לנסוע 2.מסע 3.הפלגה
savage	פראי
predecessor	אב קדמון 2.קודם בתפקיד
cloth	בד אריג 2.גלימת כומר
recount	לספור מחדש 2.לחדש
bland	תפל
breastpin	סיכת חזה
uncertainty	אי ודאות
timid	ביישן
furnished	רוהט
rooster	תרנגול
execute	לבצע
vulnerable	פגיע
scarf	צעיף
predominate	לשלוט
concave	קיעור
pest	מטרד
sect	פלג
sapped	החליש
shipwreck	הרס של ספינה
lingering	ממושך
gazelle	צבי
warehouse	לאחסן במחסן
scatter	לפזר
prepay	לשלם מראש
mesh	רשת 2.סבך
pollen	אבקה (של צמחים)
nuance	הבדל דק ועדין
jest	בדיחה
combustion	בעירה
poles	קטבים
overstated	הגזים
tumult	המולה
astonishment	תדהמה
warn	להזהיר
scenario	תרחיש
prerequisite	תנאי מוקדם
epitaph	הספד 2.כתובה על מצבה
eclipse	ליקוי
plumber	שרברב
blowout	פנצ'ר
indulgence of	סיפוק של
outlasted	האריכו זמן יותר מ
descend from	לנבוע ממקור כלשהו
wear	ללבוש 2.להחזיק
rather than	ולא; במקום
nocturnal	של הלילה
coerced	אולץ
copulate	להזדווג
ejaculated	פלט
equilibrium	שיווי משקל
illumination of	הארה ל
skyrocketed	נסקו
enroll	להירשם
outline	מתאר
wear off	להיעלם
scrabble	לשרבט 2.להיאבק 3.שבץ נא
pretext	אמתלה
assimilate	להטמיע
blabbering	פטפט
besotted	מאוהב לגמרי ולא יכול להפסיק לחשוב עליה
vice	סגן
Doomsday	יום הדין
allusion to	אזכור ל
tube	צינור
chapel	כנסייה
sketches	סקיצות
wear down	לייגע
screw	בורג
suction	יניקה
jester	ליצן החצר
guardrails	מעקה בטיחות
unsanctioned	ללא אישור
widower	אלמן
stalled	עיכב
ascension to	עליה בדרגה
breed	זן
acclaim	להריע
exploit	להשתמש
wear out	להתבלות
scribble	לשרבט
primate	יונק
no sooner.. than	ברגע ש
on par	שווה ערך
amass	לצבור
twig	זרד
bale	חבילה
export	לייצא
welfare	סעד
sculpt	לפסל
prime	ראשי 2.מיטב
avert	הפנה
cursory	חפוז
bungalow	בית נופש קטן
interfere	התערב
consecration	קידוש
detached	מנותק
intent	כוונה
cast	להטיל
widen	להרחיב
seal	לאטום 2.חותמת
probe	לחקור
string	חוט 2.רצף
credential	תעודה 2.מכתב המלצה
gulf	מפרץ
tint	צבע
footage	קטע של סרט
content	תוכן
catalyze	לזרז תגובה כימית
strife	עימות
width	רוחב
self -centered	אנוכי
proclaim	להצהיר
dexterity	מיומנות
levity	קלות ראש
wedge	טריז (להפריד שני חפצים)
colonialist	מתיישב
elated	לרומם את המצב רוח
will	לחפוץ
self-destructive	בעל נטיה להרס עצמי
nonetheless	למרות זאת
prerogative	זכות
chaise	כרכרה
groan	גנח
revert	חזר
lobbyist	נציג
descent	מוצא
faint	עמום
wind	רוח
prodigy	עילוי
furthermore	יתרה מכך
lesion	נגע
maintenance	תחזוקה
pluralist	מאמין בריבוי דעות
fallible	עלול לטעות
elude	לברוח
wink	לקרוץ
shrug	למשוך בכתפיים
proficiency	מיומנות
otherwise	ולא
reparation	פיצוי
tantalizing	מפתה
vex	הרגיז
endeavor	מאמץ
initate	להתחיל
garnish	לקשט
embargo	להטיל חרם
wipe	להשמיד
shut	לסגור
proliferation	התרבות מהירה
contemplative	מהורהר
meddles with	מתערב עם
ludicrous	מגוחך
caprice	קפריזה
avail	הועיל
congestion	דחוס
emergent	הולך ומתגבש
idiom	ניב
embark	להתחיל להעלות על אוניה או מטוס
wipe out	להחריב
shuttle	מעבורת 2.להסיע הלוך ושוב
prominence	התבלטות
fictitous	בדוי
delves into	מתעמק
stilled	להרגיע
temper	מצב רוח
billet	הקצאה למגורים
redirected	כיוון מחדש
trim	קצץ
vertebrae	חוליות עמוד השדרה
illicit	לא חוקי
emblem	סימן
withdrawal	גמילה 2יציאה
sink	לשקוע
propel	להניע
erratic	לא אחיד
disquiet	אי שקט
solace	נחמה
ink	דיו
mitigate	הקל
imagery	דימוי
גחמה	עיקשות
embody	להכיל
workshop	בית מלאכה 2.קורס
soar	להמריא
proponent	חסיד
assembly	אסיפה
foolscap	דף נייר
secure	הגן 2. שמר משהו במקום 3. סגר
pseudonym	שם בדוי
emulate	להשתוות עם מישהו 2.לחקות
worship	להעריץ
so-called	כביכול
proprietary	זכות לבעלות או קניין
presence	נוכחות
overlapping	חופף
confabulation	בדיות
niece	אחיינית
solicitor	עורך דין
hesitancy	הססנות
incentive	תמריץ
theme	נושא מרכזי
carpenter	נגר
soothe	להרגיע
prosecute	לתבוע
pavement	מדרכה
expedient	אמצעי 2.כדאי
brandishing	הנפה
scold	גער
gypsy	צועני
subsidy	תמיכה כספית
upbringing	גידול
endorse	לאשר
wail	לילל
souvenir	מזכרת
protagonist	גיבור העלילה
tinkering	התעסקות
indelible	בלתי ניתן למחיקה
sultry	מחניק
assuage	מרכך
boos	קרא קריאת בוז
hallmark	סימן היכר
endow	להעניק
spear	חנית 2.לדקור
punctuate	לפסק
reconciliation	פיוס
